Date,Price,Open,High,Low,Change
13-Mar-17,6.9145,6.907,6.9146,6.906,0.07%
10-Mar-17,6.9095,6.9147,6.9217,6.908,-0.03%
9-Mar-17,6.9113,6.9129,6.9226,6.9085,-0.03%
8-Mar-17,6.9131,6.9009,6.9133,6.9002,0.15%
7-Mar-17,6.9025,6.8994,6.9071,6.8987,0.07%
6-Mar-17,6.8974,6.8868,6.9005,6.8868,0.00%
3-Mar-17,6.8972,6.8918,6.9079,6.8918,0.11%
2-Mar-17,6.8899,6.8802,6.8911,6.8801,0.12%
1-Mar-17,6.8819,6.8755,6.8826,6.8749,0.21%
28-Feb-17,6.8678,6.8723,6.8729,6.8624,-0.04%
27-Feb-17,6.8708,6.8795,6.8817,6.8689,0.03%
24-Feb-17,6.869,6.8735,6.8783,6.869,0.04%
23-Feb-17,6.8661,6.8817,6.884,6.8646,-0.17%
22-Feb-17,6.8777,6.8794,6.8834,6.8754,-0.09%
21-Feb-17,6.8841,6.8808,6.8895,6.88,0.08%
20-Feb-17,6.8785,6.8685,6.8826,6.8675,0.17%
17-Feb-17,6.8665,6.855,6.8735,6.8549,0.19%
16-Feb-17,6.8537,6.8625,6.8639,6.8489,-0.25%
15-Feb-17,6.8711,6.8701,6.8778,6.8633,0.05%
14-Feb-17,6.8674,6.8776,6.8894,6.8589,-0.20%
13-Feb-17,6.8815,6.8817,6.892,6.8724,0.04%
10-Feb-17,6.8785,6.8761,6.8826,6.874,0.14%
9-Feb-17,6.8689,6.868,6.8737,6.8622,-0.05%
8-Feb-17,6.8723,6.8822,6.8939,6.8703,-0.17%
7-Feb-17,6.8843,6.8625,6.8863,6.8612,0.31%
6-Feb-17,6.863,6.8655,6.8708,6.859,-0.10%
3-Feb-17,6.8697,6.87,6.8794,6.8691,-0.17%
2-Feb-17,6.8817,6.8817,6.8817,6.8817,0.00%
1-Feb-17,6.8817,6.8817,6.8817,6.8817,0.00%
31-Jan-17,6.8817,6.8817,6.8817,6.8817,0.00%
30-Jan-17,6.8817,6.8817,6.8817,6.8817,0.00%
27-Jan-17,6.8817,6.8817,6.8817,6.8817,0.00%
26-Jan-17,6.8817,6.8738,6.8856,6.8734,-0.03%
25-Jan-17,6.8836,6.8582,6.8855,6.8582,0.36%
24-Jan-17,6.859,6.8414,6.8652,6.8414,0.07%
23-Jan-17,6.8539,6.8596,6.8605,6.836,-0.33%
20-Jan-17,6.8765,6.8615,6.8821,6.8615,0.08%
19-Jan-17,6.8712,6.8631,6.8801,6.8539,0.47%
18-Jan-17,6.839,6.8531,6.8741,6.8319,-0.23%
17-Jan-17,6.8546,6.9016,6.9059,6.8546,-0.67%
16-Jan-17,6.9009,6.8982,6.9024,6.8931,0.01%
13-Jan-17,6.9005,6.901,6.9051,6.8871,0.13%
12-Jan-17,6.8915,6.9205,6.9246,6.8889,-0.67%
11-Jan-17,6.9377,6.9267,6.9379,6.9232,0.23%
10-Jan-17,6.9215,6.9321,6.9343,6.9215,-0.23%
9-Jan-17,6.9375,6.9315,6.9381,6.9315,0.24%
6-Jan-17,6.9207,6.8772,6.9404,6.8762,0.45%
5-Jan-17,6.89,6.93,6.9324,6.8709,-0.65%
4-Jan-17,6.9351,6.957,6.9594,6.9351,-0.37%
3-Jan-17,6.961,6.9569,6.9638,6.9558,0.23%
2-Jan-17,6.945,6.945,6.945,6.945,0.00%
30-Dec-16,6.945,6.9555,6.9555,6.942,-0.15%
29-Dec-16,6.9552,6.9503,6.9575,6.9497,-0.06%
28-Dec-16,6.9593,6.9515,6.962,6.9515,0.10%
27-Dec-16,6.9525,6.9514,6.9542,6.9464,0.05%
26-Dec-16,6.9489,6.9439,6.9506,6.9439,0.04%
23-Dec-16,6.9464,6.9482,6.9532,6.9442,-0.06%
22-Dec-16,6.9504,6.9452,6.9516,6.9452,0.12%
21-Dec-16,6.9421,6.9501,6.9548,6.9421,-0.12%
20-Dec-16,6.9505,6.9505,6.9595,6.9494,-0.05%
19-Dec-16,6.9539,6.9428,6.9546,6.9428,-0.09%
16-Dec-16,6.9603,6.952,6.9625,6.9479,0.23%
15-Dec-16,6.9443,6.9057,6.9444,6.9057,0.57%
14-Dec-16,6.9051,6.9026,6.9102,6.9009,0.05%
13-Dec-16,6.9017,6.9078,6.9078,6.9008,-0.08%
12-Dec-16,6.9069,6.9104,6.9187,6.9069,-0.01%
9-Dec-16,6.9077,6.902,6.9085,6.9009,0.40%
8-Dec-16,6.8799,6.8827,6.8832,6.8759,-0.01%
7-Dec-16,6.8805,6.8815,6.8938,6.879,-0.02%
6-Dec-16,6.882,6.8791,6.8821,6.8653,0.01%
5-Dec-16,6.881,6.8863,6.8933,6.88,-0.08%
2-Dec-16,6.8865,6.8826,6.8903,6.8822,0.00%
1-Dec-16,6.8865,6.8935,6.8992,6.8865,0.00%
30-Nov-16,6.8868,6.8864,6.8897,6.8838,-0.14%
29-Nov-16,6.8968,6.8942,6.9021,6.8935,-0.17%
28-Nov-16,6.9087,6.9075,6.9091,6.9029,-0.16%
25-Nov-16,6.9198,6.9222,6.9232,6.9142,0.00%
24-Nov-16,6.9196,6.923,6.9238,6.917,-0.01%
23-Nov-16,6.9202,6.8887,6.9203,6.8887,0.44%
22-Nov-16,6.89,6.8938,6.8938,6.884,-0.04%
21-Nov-16,6.8928,6.888,6.9,6.8864,0.06%
18-Nov-16,6.8887,6.8764,6.893,6.8764,0.15%
17-Nov-16,6.8782,6.8793,6.8793,6.8697,-0.03%
16-Nov-16,6.8804,6.8604,6.8804,6.8604,0.31%
15-Nov-16,6.8591,6.8445,6.8675,6.8445,0.18%
14-Nov-16,6.8468,6.8112,6.8472,6.8112,0.50%
11-Nov-16,6.8125,6.817,6.8193,6.7989,0.16%
10-Nov-16,6.8019,6.7939,6.8022,6.7918,0.32%
9-Nov-16,6.78,6.7851,6.7877,6.7581,-0.11%
8-Nov-16,6.7874,6.7774,6.7877,6.7774,0.16%
7-Nov-16,6.7766,6.756,6.7783,6.756,0.30%
4-Nov-16,6.7565,6.7642,6.7649,6.7564,-0.12%
3-Nov-16,6.7646,6.7578,6.7664,6.7578,0.11%
2-Nov-16,6.757,6.7616,6.7677,6.7569,-0.14%
1-Nov-16,6.7665,6.777,6.7803,6.7651,-0.14%
31-Oct-16,6.7758,6.7715,6.7758,6.7703,-0.05%
28-Oct-16,6.779,6.785,6.7899,6.7782,-0.09%
27-Oct-16,6.7851,6.7752,6.7851,6.7752,0.21%
26-Oct-16,6.7712,6.7727,6.7746,6.767,-0.15%
25-Oct-16,6.7812,6.776,6.7841,6.776,0.09%
24-Oct-16,6.7752,6.7645,6.7764,6.7645,0.13%
21-Oct-16,6.7667,6.7452,6.7672,6.7452,0.32%
20-Oct-16,6.7454,6.7385,6.7454,6.7355,0.11%
19-Oct-16,6.7379,6.7368,6.7414,6.736,-0.04%
18-Oct-16,6.7409,6.7359,6.7418,6.733,0.05%
17-Oct-16,6.7375,6.7324,6.7425,6.7321,0.13%
14-Oct-16,6.7288,6.726,6.7288,6.7217,0.02%
13-Oct-16,6.7274,6.7277,6.7341,6.7238,0.13%
12-Oct-16,6.719,6.7161,6.7237,6.714,-0.04%
11-Oct-16,6.722,6.7091,6.722,6.7078,0.22%
10-Oct-16,6.7074,6.6704,6.7081,6.6704,0.54%
7-Oct-16,6.6716,6.6716,6.6716,6.6716,0.00%
6-Oct-16,6.6716,6.6716,6.6716,6.6716,0.00%
5-Oct-16,6.6716,6.6716,6.6716,6.6716,0.00%
4-Oct-16,6.6716,6.6716,6.6716,6.6716,0.00%
3-Oct-16,6.6716,6.6716,6.6716,6.6716,0.00%
30-Sep-16,6.6716,6.6681,6.6739,6.6666,0.06%
29-Sep-16,6.6673,6.6753,6.6753,6.665,-0.12%
28-Sep-16,6.6752,6.6717,6.6755,6.6673,0.08%
27-Sep-16,6.6701,6.6693,6.6708,6.6661,0.02%
26-Sep-16,6.6689,6.6732,6.6732,6.6689,-0.01%
23-Sep-16,6.6694,6.6661,6.6715,6.6635,0.07%
22-Sep-16,6.6648,6.6638,6.6732,6.6638,-0.11%
21-Sep-16,6.6721,6.6742,6.6759,6.672,0.00%
20-Sep-16,6.672,6.6701,6.6745,6.667,0.05%
19-Sep-16,6.6685,6.6741,6.6755,6.6639,-0.07%
16-Sep-16,6.6734,6.6734,6.6734,6.6734,0.00%
15-Sep-16,6.6734,6.6734,6.6734,6.6734,0.00%
14-Sep-16,6.6734,6.6822,6.6822,6.6707,-0.09%
13-Sep-16,6.6794,6.6807,6.6814,6.6761,-0.01%
12-Sep-16,6.6801,6.6784,6.6823,6.6766,0.03%
9-Sep-16,6.6781,6.6662,6.6843,6.6662,0.21%
8-Sep-16,6.6643,6.6623,6.6691,6.6561,0.03%
7-Sep-16,6.6625,6.6751,6.6751,6.6617,-0.19%
6-Sep-16,6.6755,6.6799,6.6904,6.6755,-0.02%
5-Sep-16,6.6766,6.6806,6.6822,6.6752,-0.06%
2-Sep-16,6.6805,6.6762,6.6832,6.6743,0.13%
1-Sep-16,6.6715,6.6779,6.6808,6.6715,-0.12%
31-Aug-16,6.6793,6.6797,6.6823,6.6775,-0.03%
30-Aug-16,6.6812,6.6791,6.6837,6.6752,0.05%
29-Aug-16,6.6777,6.6753,6.6808,6.67,0.09%
26-Aug-16,6.6719,6.662,6.6723,6.6565,0.19%
25-Aug-16,6.6593,6.6594,6.6638,6.654,0.00%
24-Aug-16,6.6591,6.6433,6.6598,6.6407,0.27%
23-Aug-16,6.6409,6.6534,6.6542,6.6406,-0.15%
22-Aug-16,6.6507,6.666,6.6691,6.6463,-0.04%
19-Aug-16,6.6532,6.6313,6.6551,6.6313,0.33%
18-Aug-16,6.6312,6.6343,6.635,6.6201,-0.05%
17-Aug-16,6.6343,6.6256,6.6365,6.6225,0.14%
16-Aug-16,6.6253,6.6383,6.641,6.6149,-0.19%
15-Aug-16,6.638,6.6441,6.6491,6.636,0.04%
12-Aug-16,6.6353,6.6428,6.649,6.6338,0.11%
11-Aug-16,6.6277,6.6309,6.6438,6.6277,-0.16%
10-Aug-16,6.638,6.6564,6.6564,6.6292,-0.27%
9-Aug-16,6.6557,6.6624,6.6662,6.6549,-0.09%
8-Aug-16,6.6614,6.6602,6.6661,6.6587,0.08%
5-Aug-16,6.6564,6.6423,6.6566,6.6404,0.22%
4-Aug-16,6.6418,6.635,6.6471,6.633,0.11%
3-Aug-16,6.6342,6.6261,6.6361,6.626,0.11%
2-Aug-16,6.6272,6.6454,6.6523,6.6266,-0.25%
1-Aug-16,6.6439,6.6308,6.6441,6.6308,0.10%
29-Jul-16,6.6373,6.6508,6.6561,6.636,-0.27%
28-Jul-16,6.6554,6.6696,6.6696,6.6546,-0.22%
27-Jul-16,6.67,6.671,6.6748,6.6683,-0.03%
26-Jul-16,6.672,6.6815,6.6824,6.6678,-0.10%
25-Jul-16,6.6785,6.6823,6.683,6.676,-0.01%
22-Jul-16,6.6795,6.677,6.6797,6.6703,0.06%
21-Jul-16,6.6755,6.678,6.6836,6.67,-0.03%
20-Jul-16,6.6777,6.6949,6.6949,6.6718,-0.28%
19-Jul-16,6.6963,6.7045,6.7045,6.692,-0.12%
18-Jul-16,6.7045,6.6932,6.7066,6.6932,0.24%
15-Jul-16,6.6887,6.6818,6.6887,6.6814,0.08%
14-Jul-16,6.6836,6.6875,6.6917,6.6836,-0.04%
13-Jul-16,6.6863,6.6821,6.6955,6.6811,-0.03%
12-Jul-16,6.6885,6.6905,6.6946,6.6836,-0.08%
11-Jul-16,6.6939,6.6872,6.6939,6.6862,0.09%
8-Jul-16,6.6881,6.6851,6.6892,6.6798,0.11%
7-Jul-16,6.681,6.687,6.6898,6.68,-0.18%
6-Jul-16,6.693,6.6855,6.6977,6.684,0.20%
5-Jul-16,6.6796,6.6651,6.6799,6.6651,0.21%
4-Jul-16,6.6653,6.657,6.6688,6.6533,0.14%
1-Jul-16,6.6557,6.6469,6.6623,6.6469,0.12%
30-Jun-16,6.648,6.6372,6.6563,6.6372,0.17%
29-Jun-16,6.6367,6.6467,6.6557,6.6348,-0.17%
28-Jun-16,6.6481,6.6511,6.6559,6.6445,-0.05%
27-Jun-16,6.6516,6.639,6.6544,6.6349,0.45%
24-Jun-16,6.6218,6.5868,6.6313,6.5868,0.68%
23-Jun-16,6.5772,6.5762,6.5857,6.5708,0.00%
22-Jun-16,6.5775,6.5924,6.5954,6.5725,-0.19%
21-Jun-16,6.5903,6.574,6.591,6.573,0.20%
20-Jun-16,6.577,6.5829,6.5829,6.5724,-0.17%
17-Jun-16,6.5884,6.5934,6.596,6.5817,-0.05%
16-Jun-16,6.592,6.5806,6.593,6.5721,0.15%
15-Jun-16,6.5818,6.606,6.6076,6.5811,-0.22%
14-Jun-16,6.5965,6.5823,6.5981,6.5823,0.16%
13-Jun-16,6.5857,6.5624,6.5926,6.5624,0.36%
10-Jun-16,6.5619,6.5619,6.5619,6.5619,0.00%
9-Jun-16,6.5619,6.5619,6.5619,6.5619,-0.01%
8-Jun-16,6.5625,6.5732,6.5739,6.5612,-0.14%
7-Jun-16,6.5715,6.5653,6.5739,6.5653,0.12%
6-Jun-16,6.5637,6.5549,6.5689,6.5549,-0.02%
3-Jun-16,6.5648,6.5825,6.5883,6.5648,-0.30%
2-Jun-16,6.5845,6.5772,6.5865,6.5769,0.14%
1-Jun-16,6.5751,6.584,6.5944,6.5746,-0.12%
31-May-16,6.5829,6.583,6.5889,6.5751,0.00%
30-May-16,6.5832,6.58,6.5847,6.5762,0.30%
27-May-16,6.5633,6.5548,6.5665,6.5544,0.10%
26-May-16,6.557,6.5598,6.5644,6.5525,0.04%
25-May-16,6.5541,6.5594,6.565,6.5541,-0.05%
24-May-16,6.5572,6.5515,6.5592,6.5507,0.02%
23-May-16,6.5557,6.5442,6.5599,6.5424,0.10%
20-May-16,6.549,6.5463,6.549,6.5385,0.03%
