Date,Price,Open,High,Low,Change
6-Apr-17,1.247,1.2486,1.2508,1.2451,-0.10%
5-Apr-17,1.2483,1.244,1.2501,1.2423,0.34%
4-Apr-17,1.2441,1.2487,1.2496,1.2418,-0.37%
3-Apr-17,1.2487,1.254,1.2556,1.2464,-0.50%
31-Mar-17,1.255,1.2472,1.2562,1.2436,0.65%
30-Mar-17,1.2469,1.2433,1.2529,1.2405,0.28%
29-Mar-17,1.2434,1.2447,1.2476,1.2377,-0.13%
28-Mar-17,1.245,1.2559,1.2598,1.2439,-0.85%
27-Mar-17,1.2557,1.2487,1.2618,1.2477,0.70%
24-Mar-17,1.247,1.2521,1.2524,1.2468,-0.41%
23-Mar-17,1.2521,1.2484,1.2532,1.2461,0.30%
22-Mar-17,1.2484,1.2477,1.2507,1.2423,0.04%
21-Mar-17,1.2479,1.2358,1.2496,1.234,0.98%
20-Mar-17,1.2358,1.24,1.2437,1.2335,-0.29%
17-Mar-17,1.2394,1.2359,1.2406,1.2323,0.28%
16-Mar-17,1.236,1.2289,1.2378,1.2241,0.55%
15-Mar-17,1.2292,1.2153,1.2309,1.2139,1.14%
14-Mar-17,1.2154,1.2219,1.2228,1.2108,-0.53%
13-Mar-17,1.2219,1.2162,1.2252,1.2149,0.39%
10-Mar-17,1.2172,1.2168,1.2191,1.214,0.04%
9-Mar-17,1.2167,1.2165,1.2195,1.2134,-0.02%
8-Mar-17,1.217,1.2199,1.2216,1.214,-0.25%
7-Mar-17,1.22,1.2235,1.2253,1.2168,-0.30%
6-Mar-17,1.2237,1.2294,1.2302,1.2222,-0.47%
3-Mar-17,1.2295,1.227,1.2304,1.2217,0.24%
2-Mar-17,1.2266,1.2289,1.2308,1.2241,-0.24%
1-Mar-17,1.2295,1.2382,1.2406,1.2279,-0.69%
28-Feb-17,1.238,1.2443,1.2471,1.2369,-0.51%
27-Feb-17,1.2444,1.2467,1.2486,1.2384,-0.19%
24-Feb-17,1.2468,1.2555,1.2572,1.2447,-0.69%
23-Feb-17,1.2555,1.2443,1.2562,1.2428,0.84%
22-Feb-17,1.2451,1.2471,1.2509,1.2423,-0.18%
21-Feb-17,1.2473,1.2458,1.2481,1.2399,0.10%
20-Feb-17,1.2461,1.241,1.2483,1.2401,0.38%
17-Feb-17,1.2414,1.249,1.2513,1.2388,-0.61%
16-Feb-17,1.249,1.2462,1.2527,1.2455,0.24%
15-Feb-17,1.246,1.2471,1.2481,1.238,-0.08%
14-Feb-17,1.247,1.2526,1.255,1.2443,-0.46%
13-Feb-17,1.2527,1.2475,1.254,1.247,0.29%
